,GFI,complexity,document,length_of_chunk,number_of_chunk
943,7.7921,5,summaryL1/fu054d_2007_07.txt,12,1
944,8.3953,5,summaryL1/fu054d_2007_07.txt,12,2
945,8.083,5,summaryL1/fu054d_2007_07.txt,10,1
946,6.9195,5,summaryL1/fu054d_2007_07.txt,10,2
947,9.3171,5,summaryL1/fu054d_2007_07.txt,10,3
948,16.354,3,summaryL1/fu056d_2007_07.txt,19,1
966,15.5533,3,summaryL1/fu056d_2007_07.txt,18,1
967,15.377,3,summaryL1/fu056d_2007_07.txt,16,1
968,15.1686,3,summaryL1/fu056d_2007_07.txt,14,1
969,14.7913,3,summaryL1/fu056d_2007_07.txt,12,1
970,14.7703,3,summaryL1/fu056d_2007_07.txt,10,1
971,11.8348,4,summaryL1/fu056d_2007_07.txt,19,1
989,11.084,4,summaryL1/fu056d_2007_07.txt,18,1
990,10.891,4,summaryL1/fu056d_2007_07.txt,16,1
991,10.8481,4,summaryL1/fu056d_2007_07.txt,14,1
992,10.386,4,summaryL1/fu056d_2007_07.txt,12,1
993,10.2342,4,summaryL1/fu056d_2007_07.txt,10,1
994,9.6233,5,summaryL1/fu056d_2007_07.txt,19,1
1012,8.8494,5,summaryL1/fu056d_2007_07.txt,18,1
1013,8.7727,5,summaryL1/fu056d_2007_07.txt,16,1
1014,8.7575,5,summaryL1/fu056d_2007_07.txt,14,1
1015,8.2715,5,summaryL1/fu056d_2007_07.txt,12,1
1016,8.3786,5,summaryL1/fu056d_2007_07.txt,10,1
1017,9.6,3,summaryL1/hu005d_2007_06.txt,20,1
1035,9.2772,3,summaryL1/hu005d_2007_06.txt,18,1
1036,9.6,3,summaryL1/hu005d_2007_06.txt,16,1
1037,9.5641,3,summaryL1/hu005d_2007_06.txt,14,1
1038,10.3447,3,summaryL1/hu005d_2007_06.txt,12,1
1039,10.7331,3,summaryL1/hu005d_2007_06.txt,10,1
1040,8.5797,3,summaryL1/hu005d_2007_06.txt,10,2
1041,7.0286,4,summaryL1/hu005d_2007_06.txt,20,1
1059,6.4702,4,summaryL1/hu005d_2007_06.txt,18,1
1060,6.6,4,summaryL1/hu005d_2007_06.txt,16,1
1061,6.7571,4,summaryL1/hu005d_2007_06.txt,14,1
1062,7.4179,4,summaryL1/hu005d_2007_06.txt,12,1
1063,7.7481,4,summaryL1/hu005d_2007_06.txt,10,1
1064,6.3879,4,summaryL1/hu005d_2007_06.txt,10,2
1065,6.4571,5,summaryL1/hu005d_2007_06.txt,20,1
1083,5.9439,5,summaryL1/hu005d_2007_06.txt,18,1
1084,6.0,5,summaryL1/hu005d_2007_06.txt,16,1
1085,6.0553,5,summaryL1/hu005d_2007_06.txt,14,1
1086,6.6862,5,summaryL1/hu005d_2007_06.txt,12,1
1087,6.8525,5,summaryL1/hu005d_2007_06.txt,10,1
1088,6.114,5,summaryL1/hu005d_2007_06.txt,10,2
1089,17.1729,3,summaryL1/fu040d_2005_02.txt,7,1
1112,11.9098,4,summaryL1/fu040d_2005_02.txt,7,1
1135,11.2782,5,summaryL1/fu040d_2005_02.txt,7,1
1158,13.061,3,summaryL1/fu048d_2007_05.txt,13,1
1179,13.0186,3,summaryL1/fu048d_2007_05.txt,12,1
1180,13.1551,3,summaryL1/fu048d_2007_05.txt,10,1
1181,10.0265,4,summaryL1/fu048d_2007_05.txt,13,1
1202,10.0665,4,summaryL1/fu048d_2007_05.txt,12,1
1203,9.9972,4,summaryL1/fu048d_2007_05.txt,10,1
1204,9.1989,5,summaryL1/fu048d_2007_05.txt,13,1
1225,9.3285,5,summaryL1/fu048d_2007_05.txt,12,1
1226,9.4709,5,summaryL1/fu048d_2007_05.txt,10,1
1227,11.7255,3,summaryL1/fu034d_2005_02.txt,14,1
1248,10.3314,3,summaryL1/fu034d_2005_02.txt,12,1
1249,11.3914,3,summaryL1/fu034d_2005_02.txt,10,1
1250,9.2665,4,summaryL1/fu034d_2005_02.txt,14,1
1271,7.5642,4,summaryL1/fu034d_2005_02.txt,12,1
